Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	16	512	512	4194304	15.058823529411764
all-gemms	32	512	512	8388608	28.444444444444443
all-gemms	64	512	512	16777216	51.2
all-gemms	128	512	512	33554432	85.33333333333333
all-gemms	256	512	512	67108864	128.0
all-gemms	512	512	512	134217728	170.66666666666666
all-gemms	1024	512	512	268435456	204.8
all-gemms	2048	512	512	536870912	227.55555555555554
all-gemms	4096	512	512	1073741824	240.94117647058823
all-gemms	8192	512	512	2147483648	248.24242424242425
