Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	16	2048	2048	67108864	15.753846153846155
all-gemms	32	2048	2048	134217728	31.03030303030303
all-gemms	64	2048	2048	268435456	60.23529411764706
all-gemms	128	2048	2048	536870912	113.77777777777777
all-gemms	256	2048	2048	1073741824	204.8
all-gemms	512	2048	2048	2147483648	341.3333333333333
all-gemms	1024	2048	2048	4294967296	512.0
all-gemms	2048	2048	2048	8589934592	682.6666666666666
all-gemms	4096	2048	2048	17179869184	819.2
all-gemms	8192	2048	2048	34359738368	910.2222222222222
