ML Workload type	M	N	K	#MACs	AlgorithmReuse	WeightReuse	InputReuse
BERT-Large	512	1024	1024	536870912	256	1024	512
BERT-Large	512	512	1024	268435456	204.8	512	512
BERT-Large	512	1024	512	268435456	204.8	1024	512
BERT-Large	512	4096	1024	2147483648	315.0769231	4096	512
BERT-Large	512	1024	4096	2147483648	315.0769231	1024	512
GPT-J	1	4096	4096	16777216	0.9995119571	4096	1
GPT-J	2048	4096	4096	34359738368	1024	4096	2048
GPT-J	1	2048	4096	8388608	0.9992681142	2048	1
GPT-J	1	4096	2048	8388608	0.9992681142	4096	1
