Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	512	2048	128	134217728	97.52380952380952
all-gemms	512	2048	256	268435456	157.53846153846155
all-gemms	512	2048	512	536870912	227.55555555555554
all-gemms	512	2048	1024	1073741824	292.57142857142856
all-gemms	512	2048	2048	2147483648	341.3333333333333
all-gemms	512	2048	4096	4294967296	372.3636363636364
all-gemms	512	2048	8192	8589934592	390.0952380952381
all-gemms	512	4096	16	33554432	15.456603773584906
all-gemms	512	4096	32	67108864	29.8978102189781
all-gemms	512	4096	64	134217728	56.10958904109589
all-gemms	512	4096	128	268435456	99.90243902439025
all-gemms	512	4096	256	536870912	163.84
all-gemms	512	4096	512	1073741824	240.94117647058823
all-gemms	512	4096	1024	2147483648	315.0769230769231
all-gemms	512	4096	2048	4294967296	372.3636363636364
all-gemms	512	4096	4096	8589934592	409.6
all-gemms	512	4096	8192	17179869184	431.1578947368421
all-gemms	512	8192	16	67108864	15.485822306238186
all-gemms	512	8192	32	134217728	30.007326007326007
all-gemms	512	8192	64	268435456	56.49655172413793
all-gemms	512	8192	128	536870912	101.1358024691358
all-gemms	512	8192	256	1073741824	167.18367346938774
all-gemms	512	8192	512	2147483648	248.24242424242425
all-gemms	512	8192	1024	4294967296	327.68
all-gemms	512	8192	2048	8589934592	390.0952380952381
all-gemms	512	8192	4096	17179869184	431.1578947368421
all-gemms	512	8192	8192	34359738368	455.1111111111111
all-gemms	1024	16	16	262144	7.937984496124031
all-gemms	1024	16	32	524288	10.556701030927835
all-gemms	1024	16	64	1048576	12.641975308641975
all-gemms	1024	16	128	2097152	14.027397260273972
all-gemms	1024	16	256	4194304	14.840579710144928
all-gemms	1024	16	512	8388608	15.283582089552239
all-gemms	1024	16	1024	16777216	15.515151515151516
all-gemms	1024	16	2048	33554432	15.633587786259541
all-gemms	1024	16	4096	67108864	15.693486590038313
all-gemms	1024	16	8192	134217728	15.723608445297504
all-gemms	1024	32	16	524288	10.556701030927835
all-gemms	1024	32	32	1048576	15.753846153846155
all-gemms	1024	32	64	2097152	20.897959183673468
all-gemms	1024	32	128	4194304	24.975609756097562
all-gemms	1024	32	256	8388608	27.675675675675677
all-gemms	1024	32	512	16777216	29.257142857142856
all-gemms	1024	32	1024	33554432	30.11764705882353
all-gemms	1024	32	2048	67108864	30.567164179104477
all-gemms	1024	32	4096	134217728	30.796992481203006
all-gemms	1024	32	8192	268435456	30.91320754716981
all-gemms	1024	64	16	1048576	12.641975308641975
all-gemms	1024	64	32	2097152	20.897959183673468
all-gemms	1024	64	64	4194304	31.03030303030303
all-gemms	1024	64	128	8388608	40.96
all-gemms	1024	64	256	16777216	48.76190476190476
all-gemms	1024	64	512	33554432	53.89473684210526
all-gemms	1024	64	1024	67108864	56.888888888888886
all-gemms	1024	64	2048	134217728	58.51428571428571
all-gemms	1024	64	4096	268435456	59.36231884057971
all-gemms	1024	64	8192	536870912	59.7956204379562
all-gemms	1024	128	16	2097152	14.027397260273972
all-gemms	1024	128	32	4194304	24.975609756097562
all-gemms	1024	128	64	8388608	40.96
all-gemms	1024	128	128	16777216	60.23529411764706
all-gemms	1024	128	256	33554432	78.76923076923077
all-gemms	1024	128	512	67108864	93.0909090909091
all-gemms	1024	128	1024	134217728	102.4
all-gemms	1024	128	2048	268435456	107.78947368421052
all-gemms	1024	128	4096	536870912	110.70270270270271
all-gemms	1024	128	8192	1073741824	112.21917808219177
all-gemms	1024	256	16	4194304	14.840579710144928
all-gemms	1024	256	32	8388608	27.675675675675677
all-gemms	1024	256	64	16777216	48.76190476190476
all-gemms	1024	256	128	33554432	78.76923076923077
all-gemms	1024	256	256	67108864	113.77777777777777
all-gemms	1024	256	512	134217728	146.28571428571428
all-gemms	1024	256	1024	268435456	170.66666666666666
all-gemms	1024	256	2048	536870912	186.1818181818182
all-gemms	1024	256	4096	1073741824	195.04761904761904
all-gemms	1024	256	8192	2147483648	199.8048780487805
all-gemms	1024	512	16	8388608	15.283582089552239
all-gemms	1024	512	32	16777216	29.257142857142856
all-gemms	1024	512	64	33554432	53.89473684210526
all-gemms	1024	512	128	67108864	93.0909090909091
all-gemms	1024	512	256	134217728	146.28571428571428
all-gemms	1024	512	512	268435456	204.8
all-gemms	1024	512	1024	536870912	256.0
all-gemms	1024	512	2048	1073741824	292.57142857142856
all-gemms	1024	512	4096	2147483648	315.0769230769231
all-gemms	1024	512	8192	4294967296	327.68
all-gemms	1024	1024	16	16777216	15.515151515151516
all-gemms	1024	1024	32	33554432	30.11764705882353
all-gemms	1024	1024	64	67108864	56.888888888888886
all-gemms	1024	1024	128	134217728	102.4
all-gemms	1024	1024	256	268435456	170.66666666666666
all-gemms	1024	1024	512	536870912	256.0
all-gemms	1024	1024	1024	1073741824	341.3333333333333
all-gemms	1024	1024	2048	2147483648	409.6
all-gemms	1024	1024	4096	4294967296	455.1111111111111
all-gemms	1024	1024	8192	8589934592	481.88235294117646
all-gemms	1024	2048	16	33554432	15.633587786259541
all-gemms	1024	2048	32	67108864	30.567164179104477
all-gemms	1024	2048	64	134217728	58.51428571428571
all-gemms	1024	2048	128	268435456	107.78947368421052
all-gemms	1024	2048	256	536870912	186.1818181818182
all-gemms	1024	2048	512	1073741824	292.57142857142856
all-gemms	1024	2048	1024	2147483648	409.6
all-gemms	1024	2048	2048	4294967296	512.0
all-gemms	1024	2048	4096	8589934592	585.1428571428571
all-gemms	1024	2048	8192	17179869184	630.1538461538462
all-gemms	1024	4096	16	67108864	15.693486590038313
all-gemms	1024	4096	32	134217728	30.796992481203006
all-gemms	1024	4096	64	268435456	59.36231884057971
all-gemms	1024	4096	128	536870912	110.70270270270271
all-gemms	1024	4096	256	1073741824	195.04761904761904
all-gemms	1024	4096	512	2147483648	315.0769230769231
all-gemms	1024	4096	1024	4294967296	455.1111111111111
all-gemms	1024	4096	2048	8589934592	585.1428571428571
all-gemms	1024	4096	4096	17179869184	682.6666666666666
all-gemms	1024	4096	8192	34359738368	744.7272727272727
all-gemms	1024	8192	16	134217728	15.723608445297504
all-gemms	1024	8192	32	268435456	30.91320754716981
all-gemms	1024	8192	64	536870912	59.7956204379562
all-gemms	1024	8192	128	1073741824	112.21917808219177
all-gemms	1024	8192	256	2147483648	199.8048780487805
all-gemms	1024	8192	512	4294967296	327.68
all-gemms	1024	8192	1024	8589934592	481.88235294117646
all-gemms	1024	8192	2048	17179869184	630.1538461538462
all-gemms	1024	8192	4096	34359738368	744.7272727272727
all-gemms	1024	8192	8192	68719476736	819.2
all-gemms	2048	16	16	524288	7.968871595330739
all-gemms	2048	16	32	1048576	10.61139896373057
all-gemms	2048	16	64	2097152	12.720496894409937
all-gemms	2048	16	128	4194304	14.124137931034483
all-gemms	2048	16	256	8388608	14.94890510948905
all-gemms	2048	16	512	16777216	15.398496240601503
all-gemms	2048	16	1024	33554432	15.633587786259541
all-gemms	2048	16	2048	67108864	15.753846153846155
all-gemms	2048	16	4096	134217728	15.814671814671815
all-gemms	2048	16	8192	268435456	15.845261121856867
all-gemms	2048	32	16	1048576	10.61139896373057
all-gemms	2048	32	32	2097152	15.875968992248062
all-gemms	2048	32	64	4194304	21.11340206185567
all-gemms	2048	32	128	8388608	25.28395061728395
all-gemms	2048	32	256	16777216	28.054794520547944
all-gemms	2048	32	512	33554432	29.681159420289855
all-gemms	2048	32	1024	67108864	30.567164179104477
all-gemms	2048	32	2048	134217728	31.03030303030303
all-gemms	2048	32	4096	268435456	31.267175572519083
all-gemms	2048	32	8192	536870912	31.386973180076627
all-gemms	2048	64	16	2097152	12.720496894409937
all-gemms	2048	64	32	4194304	21.11340206185567
all-gemms	2048	64	64	8388608	31.50769230769231
all-gemms	2048	64	128	16777216	41.795918367346935
all-gemms	2048	64	256	33554432	49.951219512195124
all-gemms	2048	64	512	67108864	55.351351351351354
all-gemms	2048	64	1024	134217728	58.51428571428571
all-gemms	2048	64	2048	268435456	60.23529411764706
all-gemms	2048	64	4096	536870912	61.134328358208954
all-gemms	2048	64	8192	1073741824	61.59398496240601
all-gemms	2048	128	16	4194304	14.124137931034483
all-gemms	2048	128	32	8388608	25.28395061728395
all-gemms	2048	128	64	16777216	41.795918367346935
all-gemms	2048	128	128	33554432	62.06060606060606
all-gemms	2048	128	256	67108864	81.92
all-gemms	2048	128	512	134217728	97.52380952380952
all-gemms	2048	128	1024	268435456	107.78947368421052
all-gemms	2048	128	2048	536870912	113.77777777777777
all-gemms	2048	128	4096	1073741824	117.02857142857142
all-gemms	2048	128	8192	2147483648	118.72463768115942
all-gemms	2048	256	16	8388608	14.94890510948905
all-gemms	2048	256	32	16777216	28.054794520547944
all-gemms	2048	256	64	33554432	49.951219512195124
all-gemms	2048	256	128	67108864	81.92
all-gemms	2048	256	256	134217728	120.47058823529412
all-gemms	2048	256	512	268435456	157.53846153846155
all-gemms	2048	256	1024	536870912	186.1818181818182
all-gemms	2048	256	2048	1073741824	204.8
all-gemms	2048	256	4096	2147483648	215.57894736842104
all-gemms	2048	256	8192	4294967296	221.40540540540542
all-gemms	2048	512	16	16777216	15.398496240601503
all-gemms	2048	512	32	33554432	29.681159420289855
all-gemms	2048	512	64	67108864	55.351351351351354
all-gemms	2048	512	128	134217728	97.52380952380952
all-gemms	2048	512	256	268435456	157.53846153846155
all-gemms	2048	512	512	536870912	227.55555555555554
all-gemms	2048	512	1024	1073741824	292.57142857142856
all-gemms	2048	512	2048	2147483648	341.3333333333333
all-gemms	2048	512	4096	4294967296	372.3636363636364
all-gemms	2048	512	8192	8589934592	390.0952380952381
all-gemms	2048	1024	16	33554432	15.633587786259541
all-gemms	2048	1024	32	67108864	30.567164179104477
all-gemms	2048	1024	64	134217728	58.51428571428571
all-gemms	2048	1024	128	268435456	107.78947368421052
all-gemms	2048	1024	256	536870912	186.1818181818182
all-gemms	2048	1024	512	1073741824	292.57142857142856
all-gemms	2048	1024	1024	2147483648	409.6
all-gemms	2048	1024	2048	4294967296	512.0
all-gemms	2048	1024	4096	8589934592	585.1428571428571
all-gemms	2048	1024	8192	17179869184	630.1538461538462
all-gemms	2048	2048	16	67108864	15.753846153846155
all-gemms	2048	2048	32	134217728	31.03030303030303
all-gemms	2048	2048	64	268435456	60.23529411764706
all-gemms	2048	2048	128	536870912	113.77777777777777
all-gemms	2048	2048	256	1073741824	204.8
all-gemms	2048	2048	512	2147483648	341.3333333333333
all-gemms	2048	2048	1024	4294967296	512.0
all-gemms	2048	2048	2048	8589934592	682.6666666666666
all-gemms	2048	2048	4096	17179869184	819.2
all-gemms	2048	2048	8192	34359738368	910.2222222222222
all-gemms	2048	4096	16	134217728	15.814671814671815
all-gemms	2048	4096	32	268435456	31.267175572519083
all-gemms	2048	4096	64	536870912	61.134328358208954
all-gemms	2048	4096	128	1073741824	117.02857142857142
all-gemms	2048	4096	256	2147483648	215.57894736842104
all-gemms	2048	4096	512	4294967296	372.3636363636364
all-gemms	2048	4096	1024	8589934592	585.1428571428571
all-gemms	2048	4096	2048	17179869184	819.2
all-gemms	2048	4096	4096	34359738368	1024.0
all-gemms	2048	4096	8192	68719476736	1170.2857142857142
all-gemms	2048	8192	16	268435456	15.845261121856867
all-gemms	2048	8192	32	536870912	31.386973180076627
all-gemms	2048	8192	64	1073741824	61.59398496240601
all-gemms	2048	8192	128	2147483648	118.72463768115942
all-gemms	2048	8192	256	4294967296	221.40540540540542
all-gemms	2048	8192	512	8589934592	390.0952380952381
all-gemms	2048	8192	1024	17179869184	630.1538461538462
all-gemms	2048	8192	2048	34359738368	910.2222222222222
all-gemms	2048	8192	4096	68719476736	1170.2857142857142
all-gemms	2048	8192	8192	137438953472	1365.3333333333333
all-gemms	4096	16	16	1048576	7.984405458089668
all-gemms	4096	16	32	2097152	10.638961038961039
all-gemms	4096	16	64	4194304	12.7601246105919
all-gemms	4096	16	128	8388608	14.173010380622838
all-gemms	4096	16	256	16777216	15.003663003663004
all-gemms	4096	16	512	33554432	15.456603773584906
all-gemms	4096	16	1024	67108864	15.693486590038313
all-gemms	4096	16	2048	134217728	15.814671814671815
all-gemms	4096	16	4096	268435456	15.875968992248062
all-gemms	4096	16	8192	536870912	15.906796116504854
all-gemms	4096	32	16	2097152	10.638961038961039
all-gemms	4096	32	32	4194304	15.937743190661479
all-gemms	4096	32	64	8388608	21.22279792746114
all-gemms	4096	32	128	16777216	25.440993788819874
all-gemms	4096	32	256	33554432	28.248275862068965
all-gemms	4096	32	512	67108864	29.8978102189781
all-gemms	4096	32	1024	134217728	30.796992481203006
all-gemms	4096	32	2048	268435456	31.267175572519083
all-gemms	4096	32	4096	536870912	31.50769230769231
all-gemms	4096	32	8192	1073741824	31.62934362934363
all-gemms	4096	64	16	4194304	12.7601246105919
all-gemms	4096	64	32	8388608	21.22279792746114
all-gemms	4096	64	64	16777216	31.751937984496124
all-gemms	4096	64	128	33554432	42.22680412371134
all-gemms	4096	64	256	67108864	50.5679012345679
all-gemms	4096	64	512	134217728	56.10958904109589
all-gemms	4096	64	1024	268435456	59.36231884057971
all-gemms	4096	64	2048	536870912	61.134328358208954
all-gemms	4096	64	4096	1073741824	62.06060606060606
all-gemms	4096	64	8192	2147483648	62.534351145038165
all-gemms	4096	128	16	8388608	14.173010380622838
all-gemms	4096	128	32	16777216	25.440993788819874
all-gemms	4096	128	64	33554432	42.22680412371134
all-gemms	4096	128	128	67108864	63.01538461538462
all-gemms	4096	128	256	134217728	83.59183673469387
all-gemms	4096	128	512	268435456	99.90243902439025
all-gemms	4096	128	1024	536870912	110.70270270270271
all-gemms	4096	128	2048	1073741824	117.02857142857142
all-gemms	4096	128	4096	2147483648	120.47058823529412
all-gemms	4096	128	8192	4294967296	122.26865671641791
all-gemms	4096	256	16	16777216	15.003663003663004
all-gemms	4096	256	32	33554432	28.248275862068965
all-gemms	4096	256	64	67108864	50.5679012345679
all-gemms	4096	256	128	134217728	83.59183673469387
all-gemms	4096	256	256	268435456	124.12121212121212
all-gemms	4096	256	512	536870912	163.84
all-gemms	4096	256	1024	1073741824	195.04761904761904
all-gemms	4096	256	2048	2147483648	215.57894736842104
all-gemms	4096	256	4096	4294967296	227.55555555555554
all-gemms	4096	256	8192	8589934592	234.05714285714285
all-gemms	4096	512	16	33554432	15.456603773584906
all-gemms	4096	512	32	67108864	29.8978102189781
all-gemms	4096	512	64	134217728	56.10958904109589
all-gemms	4096	512	128	268435456	99.90243902439025
all-gemms	4096	512	256	536870912	163.84
all-gemms	4096	512	512	1073741824	240.94117647058823
all-gemms	4096	512	1024	2147483648	315.0769230769231
all-gemms	4096	512	2048	4294967296	372.3636363636364
all-gemms	4096	512	4096	8589934592	409.6
all-gemms	4096	512	8192	17179869184	431.1578947368421
all-gemms	4096	1024	16	67108864	15.693486590038313
all-gemms	4096	1024	32	134217728	30.796992481203006
all-gemms	4096	1024	64	268435456	59.36231884057971
all-gemms	4096	1024	128	536870912	110.70270270270271
all-gemms	4096	1024	256	1073741824	195.04761904761904
all-gemms	4096	1024	512	2147483648	315.0769230769231
all-gemms	4096	1024	1024	4294967296	455.1111111111111
all-gemms	4096	1024	2048	8589934592	585.1428571428571
all-gemms	4096	1024	4096	17179869184	682.6666666666666
all-gemms	4096	1024	8192	34359738368	744.7272727272727
all-gemms	4096	2048	16	134217728	15.814671814671815
all-gemms	4096	2048	32	268435456	31.267175572519083
all-gemms	4096	2048	64	536870912	61.134328358208954
all-gemms	4096	2048	128	1073741824	117.02857142857142
all-gemms	4096	2048	256	2147483648	215.57894736842104
all-gemms	4096	2048	512	4294967296	372.3636363636364
all-gemms	4096	2048	1024	8589934592	585.1428571428571
all-gemms	4096	2048	2048	17179869184	819.2
all-gemms	4096	2048	4096	34359738368	1024.0
all-gemms	4096	2048	8192	68719476736	1170.2857142857142
all-gemms	4096	4096	16	268435456	15.875968992248062
all-gemms	4096	4096	32	536870912	31.50769230769231
all-gemms	4096	4096	64	1073741824	62.06060606060606
all-gemms	4096	4096	128	2147483648	120.47058823529412
all-gemms	4096	4096	256	4294967296	227.55555555555554
all-gemms	4096	4096	512	8589934592	409.6
all-gemms	4096	4096	1024	17179869184	682.6666666666666
all-gemms	4096	4096	2048	34359738368	1024.0
all-gemms	4096	4096	4096	68719476736	1365.3333333333333
all-gemms	4096	4096	8192	137438953472	1638.4
all-gemms	4096	8192	16	536870912	15.906796116504854
all-gemms	4096	8192	32	1073741824	31.62934362934363
all-gemms	4096	8192	64	2147483648	62.534351145038165
all-gemms	4096	8192	128	4294967296	122.26865671641791
all-gemms	4096	8192	256	8589934592	234.05714285714285
all-gemms	4096	8192	512	17179869184	431.1578947368421
all-gemms	4096	8192	1024	34359738368	744.7272727272727
all-gemms	4096	8192	2048	68719476736	1170.2857142857142
all-gemms	4096	8192	4096	137438953472	1638.4
all-gemms	4096	8192	8192	274877906944	2048.0
all-gemms	8192	16	16	2097152	7.9921951219512195
all-gemms	8192	16	32	4194304	10.652795838751626
all-gemms	8192	16	64	8388608	12.78003120124805
all-gemms	8192	16	128	16777216	14.197573656845753
all-gemms	8192	16	256	33554432	15.03119266055046
all-gemms	8192	16	512	67108864	15.485822306238186
all-gemms	8192	16	1024	134217728	15.723608445297504
all-gemms	8192	16	2048	268435456	15.845261121856867
all-gemms	8192	16	4096	536870912	15.906796116504854
all-gemms	8192	16	8192	1073741824	15.937743190661479
all-gemms	8192	32	16	4194304	10.652795838751626
all-gemms	8192	32	32	8388608	15.968810916179336
all-gemms	8192	32	64	16777216	21.277922077922078
all-gemms	8192	32	128	33554432	25.5202492211838
all-gemms	8192	32	256	67108864	28.346020761245676
all-gemms	8192	32	512	134217728	30.007326007326007
all-gemms	8192	32	1024	268435456	30.91320754716981
all-gemms	8192	32	2048	536870912	31.386973180076627
all-gemms	8192	32	4096	1073741824	31.62934362934363
all-gemms	8192	32	8192	2147483648	31.751937984496124
all-gemms	8192	64	16	8388608	12.78003120124805
all-gemms	8192	64	32	16777216	21.277922077922078
all-gemms	8192	64	64	33554432	31.875486381322958
all-gemms	8192	64	128	67108864	42.44559585492228
all-gemms	8192	64	256	134217728	50.88198757763975
all-gemms	8192	64	512	268435456	56.49655172413793
all-gemms	8192	64	1024	536870912	59.7956204379562
all-gemms	8192	64	2048	1073741824	61.59398496240601
all-gemms	8192	64	4096	2147483648	62.534351145038165
all-gemms	8192	64	8192	4294967296	63.01538461538462
all-gemms	8192	128	16	16777216	14.197573656845753
all-gemms	8192	128	32	33554432	25.5202492211838
all-gemms	8192	128	64	67108864	42.44559585492228
all-gemms	8192	128	128	134217728	63.50387596899225
all-gemms	8192	128	256	268435456	84.45360824742268
all-gemms	8192	128	512	536870912	101.1358024691358
all-gemms	8192	128	1024	1073741824	112.21917808219177
all-gemms	8192	128	2048	2147483648	118.72463768115942
all-gemms	8192	128	4096	4294967296	122.26865671641791
all-gemms	8192	128	8192	8589934592	124.12121212121212
all-gemms	8192	256	16	33554432	15.03119266055046
all-gemms	8192	256	32	67108864	28.346020761245676
all-gemms	8192	256	64	134217728	50.88198757763975
all-gemms	8192	256	128	268435456	84.45360824742268
all-gemms	8192	256	256	536870912	126.03076923076924
all-gemms	8192	256	512	1073741824	167.18367346938774
all-gemms	8192	256	1024	2147483648	199.8048780487805
all-gemms	8192	256	2048	4294967296	221.40540540540542
all-gemms	8192	256	4096	8589934592	234.05714285714285
all-gemms	8192	256	8192	17179869184	240.94117647058823
all-gemms	8192	512	16	67108864	15.485822306238186
all-gemms	8192	512	32	134217728	30.007326007326007
all-gemms	8192	512	64	268435456	56.49655172413793
all-gemms	8192	512	128	536870912	101.1358024691358
all-gemms	8192	512	256	1073741824	167.18367346938774
all-gemms	8192	512	512	2147483648	248.24242424242425
all-gemms	8192	512	1024	4294967296	327.68
all-gemms	8192	512	2048	8589934592	390.0952380952381
all-gemms	8192	512	4096	17179869184	431.1578947368421
all-gemms	8192	512	8192	34359738368	455.1111111111111
all-gemms	8192	1024	16	134217728	15.723608445297504
all-gemms	8192	1024	32	268435456	30.91320754716981
all-gemms	8192	1024	64	536870912	59.7956204379562
all-gemms	8192	1024	128	1073741824	112.21917808219177
all-gemms	8192	1024	256	2147483648	199.8048780487805
all-gemms	8192	1024	512	4294967296	327.68
all-gemms	8192	1024	1024	8589934592	481.88235294117646
all-gemms	8192	1024	2048	17179869184	630.1538461538462
all-gemms	8192	1024	4096	34359738368	744.7272727272727
all-gemms	8192	1024	8192	68719476736	819.2
all-gemms	8192	2048	16	268435456	15.845261121856867
all-gemms	8192	2048	32	536870912	31.386973180076627
all-gemms	8192	2048	64	1073741824	61.59398496240601
all-gemms	8192	2048	128	2147483648	118.72463768115942
all-gemms	8192	2048	256	4294967296	221.40540540540542
all-gemms	8192	2048	512	8589934592	390.0952380952381
all-gemms	8192	2048	1024	17179869184	630.1538461538462
all-gemms	8192	2048	2048	34359738368	910.2222222222222
all-gemms	8192	2048	4096	68719476736	1170.2857142857142
all-gemms	8192	2048	8192	137438953472	1365.3333333333333
all-gemms	8192	4096	16	536870912	15.906796116504854
all-gemms	8192	4096	32	1073741824	31.62934362934363
all-gemms	8192	4096	64	2147483648	62.534351145038165
all-gemms	8192	4096	128	4294967296	122.26865671641791
all-gemms	8192	4096	256	8589934592	234.05714285714285
all-gemms	8192	4096	512	17179869184	431.1578947368421
all-gemms	8192	4096	1024	34359738368	744.7272727272727
all-gemms	8192	4096	2048	68719476736	1170.2857142857142
all-gemms	8192	4096	4096	137438953472	1638.4
all-gemms	8192	4096	8192	274877906944	2048.0
all-gemms	8192	8192	16	1073741824	15.937743190661479
all-gemms	8192	8192	32	2147483648	31.751937984496124
all-gemms	8192	8192	64	4294967296	63.01538461538462
all-gemms	8192	8192	128	8589934592	124.12121212121212
all-gemms	8192	8192	256	17179869184	240.94117647058823
all-gemms	8192	8192	512	34359738368	455.1111111111111
all-gemms	8192	8192	1024	68719476736	819.2
all-gemms	8192	8192	2048	137438953472	1365.3333333333333
all-gemms	8192	8192	4096	274877906944	2048.0
all-gemms	8192	8192	8192	549755813888	2730.6666666666665
