Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	32	128	64	262144	18.285714285714285
all-gemms	32	128	128	524288	21.333333333333332
all-gemms	32	128	256	1048576	23.272727272727273
all-gemms	32	128	512	2097152	24.38095238095238
all-gemms	32	128	1024	4194304	24.975609756097562
all-gemms	32	128	2048	8388608	25.28395061728395
all-gemms	32	128	4096	16777216	25.440993788819874
all-gemms	32	128	8192	33554432	25.5202492211838
all-gemms	32	256	16	131072	10.24
all-gemms	32	256	32	262144	15.058823529411764
all-gemms	32	256	64	524288	19.692307692307693
all-gemms	32	256	128	1048576	23.272727272727273
all-gemms	32	256	256	2097152	25.6
all-gemms	32	256	512	4194304	26.94736842105263
all-gemms	32	256	1024	8388608	27.675675675675677
all-gemms	32	256	2048	16777216	28.054794520547944
all-gemms	32	256	4096	33554432	28.248275862068965
all-gemms	32	256	8192	67108864	28.346020761245676
all-gemms	32	512	16	262144	10.448979591836734
all-gemms	32	512	32	524288	15.515151515151516
all-gemms	32	512	64	1048576	20.48
all-gemms	32	512	128	2097152	24.38095238095238
all-gemms	32	512	256	4194304	26.94736842105263
all-gemms	32	512	512	8388608	28.444444444444443
all-gemms	32	512	1024	16777216	29.257142857142856
all-gemms	32	512	2048	33554432	29.681159420289855
all-gemms	32	512	4096	67108864	29.8978102189781
all-gemms	32	512	8192	134217728	30.007326007326007
all-gemms	32	1024	16	524288	10.556701030927835
all-gemms	32	1024	32	1048576	15.753846153846155
all-gemms	32	1024	64	2097152	20.897959183673468
all-gemms	32	1024	128	4194304	24.975609756097562
all-gemms	32	1024	256	8388608	27.675675675675677
all-gemms	32	1024	512	16777216	29.257142857142856
all-gemms	32	1024	1024	33554432	30.11764705882353
all-gemms	32	1024	2048	67108864	30.567164179104477
all-gemms	32	1024	4096	134217728	30.796992481203006
all-gemms	32	1024	8192	268435456	30.91320754716981
all-gemms	32	2048	16	1048576	10.61139896373057
all-gemms	32	2048	32	2097152	15.875968992248062
all-gemms	32	2048	64	4194304	21.11340206185567
all-gemms	32	2048	128	8388608	25.28395061728395
all-gemms	32	2048	256	16777216	28.054794520547944
all-gemms	32	2048	512	33554432	29.681159420289855
all-gemms	32	2048	1024	67108864	30.567164179104477
all-gemms	32	2048	2048	134217728	31.03030303030303
all-gemms	32	2048	4096	268435456	31.267175572519083
all-gemms	32	2048	8192	536870912	31.386973180076627
all-gemms	32	4096	16	2097152	10.638961038961039
all-gemms	32	4096	32	4194304	15.937743190661479
all-gemms	32	4096	64	8388608	21.22279792746114
all-gemms	32	4096	128	16777216	25.440993788819874
all-gemms	32	4096	256	33554432	28.248275862068965
all-gemms	32	4096	512	67108864	29.8978102189781
all-gemms	32	4096	1024	134217728	30.796992481203006
all-gemms	32	4096	2048	268435456	31.267175572519083
all-gemms	32	4096	4096	536870912	31.50769230769231
all-gemms	32	4096	8192	1073741824	31.62934362934363
all-gemms	32	8192	16	4194304	10.652795838751626
all-gemms	32	8192	32	8388608	15.968810916179336
all-gemms	32	8192	64	16777216	21.277922077922078
all-gemms	32	8192	128	33554432	25.5202492211838
all-gemms	32	8192	256	67108864	28.346020761245676
all-gemms	32	8192	512	134217728	30.007326007326007
all-gemms	32	8192	1024	268435456	30.91320754716981
all-gemms	32	8192	2048	536870912	31.386973180076627
all-gemms	32	8192	4096	1073741824	31.62934362934363
all-gemms	32	8192	8192	2147483648	31.751937984496124
all-gemms	64	16	16	16384	7.111111111111111
all-gemms	64	16	32	32768	9.142857142857142
all-gemms	64	16	64	65536	10.666666666666666
all-gemms	64	16	128	131072	11.636363636363637
all-gemms	64	16	256	262144	12.19047619047619
all-gemms	64	16	512	524288	12.487804878048781
all-gemms	64	16	1024	1048576	12.641975308641975
all-gemms	64	16	2048	2097152	12.720496894409937
all-gemms	64	16	4096	4194304	12.7601246105919
