Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	16	8192	8192	1073741824	15.937743190661479
all-gemms	32	8192	8192	2147483648	31.751937984496124
all-gemms	64	8192	8192	4294967296	63.01538461538462
all-gemms	128	8192	8192	8589934592	124.12121212121212
all-gemms	256	8192	8192	17179869184	240.94117647058823
all-gemms	512	8192	8192	34359738368	455.1111111111111
all-gemms	1024	8192	8192	68719476736	819.2
all-gemms	2048	8192	8192	137438953472	1365.3333333333333
all-gemms	4096	8192	8192	274877906944	2048.0
all-gemms	8192	8192	8192	549755813888	2730.6666666666665
